image,set,q1,q2,q3,q4,q5
normalization_pretest_watrin_914.png,1,True,False,False,True,False
normalization_pretest_watrin_916.png,3,False,False,True,False,False
normalization_pretest_watrin_921.png,2,True,True,True,False,False
normalization_pretest_watrin_924.png,4,False,False,True,False,False
normalization_pretest_watrin_935.png,1,True,True,False,False,False
normalization_pretest_watrin_936.png,4,True,True,False,False,True
normalization_pretest_watrin_937.png,1,True,False,False,False,False
normalization_pretest_watrin_938.png,4,True,True,False,True,False
normalization_pretest_watrin_940.png,2,False,True,False,False,False
normalization_pretest_watrin_941.png,5,True,True,False,True,False
normalization_pretest_watrin_942.png,3,False,True,False,False,True
normalization_pretest_watrin_944.png,5,False,False,False,False,False
normalization_pretest_watrin_947.png,1,True,False,False,True,False
normalization_pretest_watrin_948.png,2,True,False,False,True,False
normalization_pretest_watrin_951.png,4,True,False,False,False,False
normalization_pretest_watrin_955.png,1,True,True,False,True,False
normalization_pretest_watrin_957.png,5,False,False,False,False,False
